Document,Name,Tag,Year,NER,Date
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,60,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,Iran,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,CEO,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,Halliburton,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,millions of dollars,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Al Qaida,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Iran,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,John Kerry,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Iraq,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Libya,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,$ 7.5 billion,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,independent,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,University of Pennsylvania,05 Oct 2004
,Richard(Dick) B. Cheney,RELIGION,2004.0,factcheck.com,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,CEO,05 Oct 2004
,Gwen Ifill,LOCATION,2004.0,attacks,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,King,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,right now,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Israeli,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,suicide bomber,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Gaza,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Israeli,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Arafat,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,9/11,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Iran,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,Six,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,Israeli,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,Gaza,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,Israel,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,Palestine,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,suicide,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,the past,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,Israel-Palestine,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,36,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,70 percent,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,Intelligence Committee,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Israel,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Saddam,05 Oct 2004
,Richard(Dick) B. Cheney,NATIONALITY,2004.0,Yasser Arafat,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,Martin Luther King,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,South Africa,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,10,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,four,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,Department of Education,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,435,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Nelson Mandela,05 Oct 2004
,Gwen Ifill,ORGANIZATION,2004.0,Cheney,05 Oct 2004
,Gwen Ifill,LOCATION,2004.0,Census Bureau,05 Oct 2004
,Gwen Ifill,LOCATION,2004.0,Cleveland,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,first summer,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,2.7 million,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Cleveland,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,40 million,05 Oct 2004
,Richard(Dick) B. Cheney,NATIONALITY,2004.0,111 million,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,last four years,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,$ 5 trillion,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,several trillion dollars,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,$ 2 trillion,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,middle-class,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,Social Security,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,Gwen,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,98,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,10,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,600,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,10 percent,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,Kerry,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,Massachusetts,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,recent months,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Massachusetts,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,California,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Massachusetts Supreme Court,05 Oct 2004
,Gwen Ifill,LOCATION,2004.0,John Kerry,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Massachusetts,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,the last 200 years,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,North Carolina,05 Oct 2004
30_2004,Gwen Ifill,PERSON,2004.0,Bush,05 Oct 2004
30_2004,Gwen Ifill,PERSON,2004.0,lawyer,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,50 percent,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,House of Representatives,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,HMOs,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,12,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,John Kerry,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,"$ 3,500",05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,17 percent,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,1997,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,17 percent,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,"$ 600,000",05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Gwen,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,CEO,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,every day,05 Oct 2004
,Gwen Ifill,LOCATION,2004.0,AIDS,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Gwen,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,infection,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,AIDS,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,United States of America,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Africa,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,terrorism,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,Intelligence Committee,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,Turkey,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,about tonight,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Afghanistan,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Middle East,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,John Kerry,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,Cheney,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,George Bush,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,70 percent,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,"100,000",05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,night,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,John McCain,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,Vietnam,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,9/11,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,9/11,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,once,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,time,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,2000,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,9/11,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,$ 2 trillion,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,Afghanistan,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,Kennedy,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,John Kerry,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Social Security,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Iraq,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Kerry,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Iraq,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,No Child Left Behind,05 Oct 2004
,Richard(Dick) B. Cheney,NATIONALITY,2004.0,Iraq,05 Oct 2004
,Richard(Dick) B. Cheney,NATIONALITY,2004.0,Iraqis,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,Hispanic-American,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,800,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,African-Americans,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,30 seconds,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,secretary of defense,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,49-51,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,leader,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,chairman,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,days,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,accident,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,drugs,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,the last several years,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,40 years,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,drugs,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,Canada,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,John Kerry,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,years,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Iraq,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,middle-class,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,every four years,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,John Kerry,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,Saddam Hussein,05 Oct 2004
,Richard(Dick) B. Cheney,NATIONALITY,2004.0,the last year,05 Oct 2004
5_1976,Edwin Newman,PERSON,1976.0,1976,23 Sep 1976
5_1976,Edwin Newman,PERSON,1976.0,ABC News,23 Sep 1976
5_1976,Edwin Newman,PERSON,1976.0,this evening,23 Sep 1976
,Edwin Newman,ORGANIZATION,1976.0,Frank Reynolds,23 Sep 1976
,Edwin Newman,ORGANIZATION,1976.0,James Gannon,23 Sep 1976
,Edwin Newman,ORGANIZATION,1976.0,Wall Street Journal,23 Sep 1976
,Edwin Newman,LOCATION,1976.0,Street Theater,23 Sep 1976
,Edwin Newman,LOCATION,1976.0,hundred million,23 Sep 1976
,Edwin Newman,LOCATION,1976.0,Gerald R. Ford,23 Sep 1976
