ID,TYPE,BEGIN,END,TEXT,Document,PartIndex,SentenceIndex
T97,Claim,12582,12685,"as we go forward in Afghanistan, we will pursue Osama bin Laden and the terrorists as long as necessary",30_2004,13,11
T98,Premise,12219,12274,We've got 10 million voters who have registered to vote,30_2004,13,7
T99,Claim,12687,12785,We're standing up Afghan security forces so they can take on responsibility for their own security,30_2004,13,12
T100,Claim,13232,13261,"This is major, major progress",30_2004,13,21
T101,Claim,13263,13325,"There will be democracy in Afghanistan, make no doubt about it",30_2004,13,22
T102,Premise,13189,13230,Women are even eligible to run for office,30_2004,13,20
T103,Premise,13164,13187,Women are going to vote,30_2004,13,19
T104,Premise,13131,13162,Young girls are going to school,30_2004,13,18
T105,Premise,13113,13129,Schools are open,30_2004,13,17
T106,Claim,13034,13111,They have done wonders writing their own constitution for the first time ever,30_2004,13,16
T107,Claim,12991,13032,"We have President Karzai, who is in power",30_2004,13,15
T108,Premise,12954,12989,they're making significant progress,30_2004,13,14
T109,Claim,12787,12948,"We'll keep U.S. forces there -- we have about 16,000 there today -- as long as necessary, to assist the Afghans in terms of dealing with their security situation",30_2004,13,13
T110,Claim,13424,13448,Someone did get it wrong,30_2004,15,0
T111,Claim,13454,13491,it wasn't John Kerry and John Edwards,30_2004,15,1
T112,Claim,13493,13510,They got it wrong,30_2004,15,2
T113,Premise,13512,13590,"When we had Osama bin Laden cornered, they left the job to the Afghan warlords",30_2004,15,3
T114,Claim,14128,14158,We will keep this country safe,30_2004,15,8
T115,Claim,14018,14118,We will find terrorists where they are and kill them before they ever do harm to the American people,30_2004,15,7
T116,Claim,14201,14262,he will defend this country as president of the United States,30_2004,15,9
T117,Premise,14160,14199,He defended this country as a young man,30_2004,15,9
T118,Claim,14296,14387,he will never give any country veto power over the security of the United States of America,30_2004,15,10
T119,Claim,13592,13663,They then diverted their attention from the very people who attacked us,30_2004,15,4
T120,Claim,13665,13750,"who were at the center of the war on terror, and so Osama bin Laden is still at large",30_2004,15,4
T121,Claim,14891,14934,Big parts of the country are still insecure,30_2004,15,16
T122,Claim,14941,15089,"the reality is the part of Afghanistan, eastern Afghanistan, where Osama bin Laden is, is one of the hardest places to control and the most insecure",30_2004,15,17
T123,Claim,14665,14746,What's actually happened is they're now providing 75 percent of the world's opium,30_2004,15,14
T124,Premise,14749,14808,Not only are they providing 75 percent of the world's opium,30_2004,15,15
T125,Claim,14810,14889,large-cut parts of the country are under the control of drug lords and warlords,30_2004,15,15
T126,Claim,15769,15797,it will apply in Afghanistan,30_2004,17,7
T127,Claim,15803,15832,it will apply as well in Iraq,30_2004,17,7
T128,Claim,15648,15692,today El Salvador is a whale of a lot better,30_2004,17,5
T129,Premise,15701,15723,we held free elections,30_2004,17,5
T130,Claim,15726,15763,The power of that concept is enormous,30_2004,17,6
T131,Premise,15147,15205,Twenty years ago we had a similar situation in El Salvador,30_2004,17,0
T132,Premise,15383,15410,The human drive for freedom,30_2004,17,3
T133,Premise,15412,15471,"the determination of these people to vote, was unbelievable",30_2004,17,3
T134,Premise,15477,15533,the terrorists would come in and shoot up polling places,30_2004,17,4
T135,Claim,15535,15641,"as soon as they left, the voters would come back and get in line and would not be denied the right to vote",30_2004,17,4
T136,Premise,15217,15279,guerrilla insurgency controlled roughly a third of the country,30_2004,17,1
T137,Premise,15305,15327,we held free elections,30_2004,17,1
T138,Premise,15845,15925,The vice president just said that we should focus on state sponsors of terrorism,30_2004,18,0
T139,Premise,15927,15982,Iran has moved forward with its nuclear weapons program,30_2004,18,1
T140,Claim,15984,16042,They're more dangerous today than they were four years ago,30_2004,18,2
T141,Claim,16044,16178,"North Korea has moved forward with their nuclear weapons program, gone from one to two nuclear weapons to six to eight nuclear weapons",30_2004,18,3
T142,Premise,16346,16378,We should not only not lift them,30_2004,18,6
T143,Claim,16380,16416,we should strengthen those sanctions,30_2004,18,6
T144,Premise,16180,16273,This vice president has been an advocate for over a decade for lifting sanctions against Iran,30_2004,18,4
T145,Claim,16330,16344,It's a mistake,30_2004,18,5
T146,Claim,18952,19060,John Kerry will never give up control over the security of the United States of America to any other country,30_2004,22,17
T147,Claim,19062,19128,We will not outsource our responsibility to keep this country safe,30_2004,22,18
T148,Claim,17486,17544,we're going to actually tell the American people the truth,30_2004,22,2
T149,Premise,17546,17603,We're going to tell them the truth about what's happening,30_2004,22,3
T150,Premise,17606,17719,"We're not going to suggest to them that things are going well in Iraq or anyplace else when, in fact, they're not",30_2004,22,4
T151,Claim,17722,17850,We're going to make sure that the American people know the truth about why we are using force and what the explanation for it is,30_2004,22,5
T152,Claim,18915,18949,We're at $200 billion and counting,30_2004,22,16
T153,Premise,18871,18913,The first Gulf war cost America $5 billion,30_2004,22,15
T154,Claim,17892,17954,We're also going to make sure that we tell the world the truth,30_2004,22,7
T155,Premise,17857,17890,it's not just the American people,30_2004,22,6
T156,Premise,17965,18141,"the reality is, for America to lead, for America to do what it's done for 50 years before this president and vice president came into office, it is critical that we be credible",30_2004,22,8
T157,Claim,18144,18240,"It is critical that they believe that when America takes action, they can trust what we're doing",30_2004,22,9
T158,Premise,18242,18351,"what we say, what we say at the United Nations, what we say in direct conversations with leaders of the world",30_2004,22,9
T159,Claim,18376,18450,They need to know that the credibility of the United States is always good,30_2004,22,10
T160,Premise,18460,18496,they will not follow us without that,30_2004,22,10
T161,Premise,18503,18565,"unfortunately, we're seeing the consequences of that right now",30_2004,22,11
T162,Claim,18597,18674,we're having so much difficulty getting others involved in the effort in Iraq,30_2004,22,12
T163,Premise,18687,18737,we've taken 90 percent of the coalition casualties,30_2004,22,13
T164,Claim,18739,18814,American taxpayers have borne 90 percent of the costs of the effort in Iraq,30_2004,22,14
T165,Claim,19212,19252,the 90 percent figure is just dead wrong,30_2004,24,0
T166,Claim,19578,19635,"$120 billion is, in fact, what has been allocated to Iraq",30_2004,24,4
T167,Premise,20491,20615,the enormous inconsistencies that John Kerry and you have cited time after time after time during the course of the campaign,30_2004,24,12
T168,Claim,20452,20479,You're not credible on Iraq,30_2004,24,12
T169,Claim,19254,19422,"When you include the Iraqi security forces that have suffered casualties, as well as the allies, they've taken almost 50 percent of the casualties in operations in Iraq",30_2004,24,1
T170,Premise,19424,19477,"which leaves the U.S. with 50 percent, not 90 percent",30_2004,24,1
T171,Claim,19505,19527,it wasn't $200 billion,30_2004,24,2
T172,Premise,19637,19698,The rest of it's for Afghanistan and the global war on terror,30_2004,24,5
T173,Claim,20037,20062,your facts are just wrong,30_2004,24,8
T174,Premise,19701,19826,The allies have stepped forward and agreed to reduce and forgive Iraqi debt to the tune of nearly $80 billion by one estimate,30_2004,24,6
T175,Premise,19834,19887,plus $14 billion they promised in terms of direct aid,30_2004,24,7
T176,Premise,19889,19958,puts the overall allied contribution financially at about $95 billion,30_2004,24,7
T177,Premise,19960,19993,not to the $120 billion we've got,30_2004,24,7
T178,Premise,20282,20303,You voted for the war,30_2004,24,11
T179,Claim,20305,20384,and then you voted against supporting the troops when they needed the equipment,30_2004,24,11
T180,Premise,20386,20449,"the fuel, the spare parts and the ammunition and the body armor",30_2004,24,11
T181,Claim,20702,20728,you've not been consistent,30_2004,24,14
T182,Premise,20734,20848,there's no indication at all that John Kerry has the conviction to successfully carry through on the war on terror,30_2004,24,14
T183,Premise,20617,20696,"Whatever the political pressures of the moment requires, that's where you're at",30_2004,24,13
T184,Claim,20884,20951,What the vice president has just said is just a complete distortion,30_2004,25,1
T185,Premise,20953,21005,The American people saw John Kerry on Thursday night,30_2004,25,2
T186,Claim,21007,21085,They don't need the vice president or the president to tell them what they saw,30_2004,25,3
T187,Claim,21088,21117,They saw a man who was strong,30_2004,25,4
T188,Claim,21119,21137,who had conviction,30_2004,25,4
T189,Claim,21139,21154,who is resolute,30_2004,25,4
T190,Claim,21156,21278,"who made it very clear that he will do everything that has to be done to find terrorists, to keep the American people safe",30_2004,25,4
T191,Claim,21380,21393,We have to be,30_2004,25,6
T192,Premise,21403,21437,we have troops on the ground there,30_2004,25,6
T193,Premise,21450,21490,they have created a haven for terrorists,30_2004,25,6
T194,Premise,21281,21321,He laid out his plan for success in Iraq,30_2004,25,5
T195,Claim,21342,21378,we were committed to success in Iraq,30_2004,25,5
T196,Premise,21551,21639,"Your rhetoric, Senator, would be a lot more credible if there was a record to back it up",30_2004,27,0
T197,Claim,21641,21652,There isn't,30_2004,27,1
T198,Claim,21814,21960,"prior to that by John Kerry, who has consistently come down on the wrong side of all the major defense issues that he's faced as a public official",30_2004,27,2
T199,Claim,21658,21808,"you cannot use ""talk tough"" during the course of a 90-minute debate in a presidential campaign to obscure a 30-year record in the United States Senate",30_2004,27,2
T200,Claim,22320,22388,I don't believe he has the qualities we need in a commander in chief,30_2004,29,0
T201,Premise,22397,22551,"I don't think, based on his record, that he would pursue the kind of aggressive policies that need to be pursued if we're going to defeat these terrorists",30_2004,29,0
T202,Claim,22908,22929,his judgment's flawed,30_2004,29,6
T203,Claim,22869,22901,we've questioned is his judgment,30_2004,29,5
T204,Claim,23419,23509,"if you look at his record, he doesn't display the qualities of somebody who has conviction",30_2004,29,9
T205,Premise,22553,22584,We need to battle them overseas,30_2004,29,1
T206,Claim,22588,22629,we don't have to battle them here at home,30_2004,29,1
T207,Premise,22935,22989,the record's there for anybody who wants to look at it,30_2004,29,6
T208,Premise,23028,23195,"he opposed, or called for the elimination of a great many major weapons systems that were crucial to winning the Cold War and are important today to our overall forces",30_2004,29,7
T209,Premise,23246,23387,"it in 1990 and '91, he stood up on the floor of the Senate and voted against going in to liberate Kuwait and push Saddam Hussein back to Iraq",30_2004,29,8
T210,Claim,24101,24192,"they, in effect, decided they would cast an anti-war vote and they voted against the troops",30_2004,29,13
T211,Claim,24199,24318,"if they couldn't stand up to the pressures that Howard Dean represented, how can we expect them to stand up to Al Qaida",30_2004,29,14
T212,Premise,23559,23651,"we've seen a situation in which, first, they voted to commit the troops, to send them to war",30_2004,29,10
T213,Premise,23682,23854,"then they came back and when the question was whether or not you provide them with the resources they needed -- body armor, spare parts, ammunition -- they voted against it",30_2004,29,10
T214,Premise,23947,24096,"what was happening was Howard Dean was making major progress in the Democratic primaries, running away with the primaries based on an anti-war record",30_2004,29,12
T215,Claim,24435,24477,a long resume does not equal good judgment,30_2004,31,1
T216,Claim,24487,24565,we've seen over and over and over the misjudgments made by this administration,30_2004,31,2
T217,Premise,24632,24719,"it's a continuation of the things he's been doing, unfortunately, on the campaign trail",30_2004,31,3
T218,Premise,24721,24787,it's a continuation of what he began his first answer with tonight,30_2004,31,3
T219,Claim,24790,24880,John Kerry has voted for the biggest military appropriations bill in the country's history,30_2004,31,4
T220,Claim,24882,24971,John Kerry has voted for the biggest intelligence appropriations in the country's history,30_2004,31,5
T221,Claim,24974,25056,"This vice president, when he was secretary of defense, cut over 80 weapons systems",30_2004,31,6
T222,Premise,25130,25248,"These are weapons systems, a big chunk of which, the vice president himself suggested we get rid of after the Cold War",30_2004,31,7
T223,Claim,25271,25360,John Kerry has consistently supported the very men that he served with in Vietnam and led,30_2004,31,8
T224,Claim,25804,25818,It's wrong now,30_2004,31,14
T225,Claim,25785,25802,It was wrong then,30_2004,31,13
T226,Claim,25556,25608,"For our troops, we must have a plan to win the peace",30_2004,31,11
T227,Premise,25363,25459,"On the $87 billion, it was clear at the time of that vote that they had no plan to win the peace",30_2004,31,9
T228,Claim,25461,25531,We're seeing the consequences of that everyday on the ground right now,30_2004,31,10
T229,Premise,25611,25745,We also thought it was wrong to have a $20 billion fund out of which $7.5 billion was going to go to a no-bid contract for Halliburton,30_2004,31,12
T230,Claim,25891,25927,I think the record speaks for itself,30_2004,33,0
T231,Claim,26238,26349,"If we want to win the war on terror, it seems to me it's pretty clear the choice is George Bush, not John Kerry",30_2004,33,3
T232,Claim,25929,26057,These are two individuals who have been for the war when the headlines were good and against it when their poll ratings were bad,30_2004,33,1
T233,Premise,26059,26172,We have not seen the kind of consistency that a commander in chief has to have in order to be a leader in wartime,30_2004,33,2
T234,Premise,26177,26235,in order to be able to see the strategy through to victory,30_2004,33,2
T235,Claim,26388,26514,John Kerry has been absolutely clear and consistent from the beginning that we must stay focused on the people who attacked us,30_2004,35,0
T236,Claim,26521,26585,Saddam Hussein was a threat that needed to be addressed directly,30_2004,35,0
T237,Claim,26592,26650,the weapons inspectors needed to have time to do their job,30_2004,35,0
T238,Premise,26652,26685,Had they had time to do their job,30_2004,35,1
T239,Premise,26687,26730,they would have discovered what we now know,30_2004,35,1
T240,Claim,26789,26830,Saddam Hussein has no connection with 9/1,30_2004,35,1
T241,Claim,26846,26902,Saddam Hussein has little or no connection with Al Qaida,30_2004,35,1
T242,Claim,26745,26774,Saddam Hussein had no weapons,30_2004,35,1
T243,Claim,27472,27567,the president and the vice president have not done the work to build the coalition that we need,30_2004,37,1
T244,Premise,27632,27652,they haven't done it,30_2004,37,2
T245,Claim,27666,27682,they can't do it,30_2004,37,2
T246,Claim,28003,28029,We have a plan for success,30_2004,37,7
T247,Claim,28187,28303,make sure that the reconstruction is sped up in a way that the Iraqis see some tangible benefit for what's happening,30_2004,37,10
T248,Claim,27684,27695,They didn't,30_2004,37,3
T249,Claim,27709,27762,just reject the allies going into lead- up to the war,30_2004,37,3
T250,Claim,27764,27834,They also rejected them in the effort to do the reconstruction in Iraq,30_2004,37,4
T251,Claim,27864,27950,"What we believe is, as part of our entire plan for Iraq -- and we have a plan for Iraq",30_2004,37,5
T252,Premise,27953,28000,They have a plan for Iraq too: more of the same,30_2004,37,6
T253,Premise,28035,28094,that plan includes speeding up the training of the military,30_2004,37,8
T254,Claim,28096,28176,We have less than half of the staff that we need there to complete that training,30_2004,37,9
T255,Claim,29091,29193,we need a new president with credibility with the rest of the world and who has a real plan for succes,30_2004,37,21
T256,Premise,29322,29352,He attacks us about the troops,30_2004,37,24
T257,Claim,29354,29431,"They sent 40,000 American troops into Iraq without the body armor they needed",30_2004,37,25
T258,Claim,29433,29488,They sent them without the armored vehicles they needed,30_2004,37,26
T259,Claim,29490,29579,"While they were on the ground fighting, they lobbied the Congress to cut their combat pay",30_2004,37,27
T260,Claim,28530,28615,We should do whatever has to be done to train the Iraqis and to speed up that process,30_2004,37,15
T261,Claim,28445,28472,they can't be trained there,30_2004,37,13
T262,Premise,28408,28439,It's so dangerous on the ground,30_2004,37,13
T263,Premise,28474,28527,We can take them out of Iraq for purposes of training,30_2004,37,14
T264,Premise,28707,28803,"the United Nations, which is responsible for the elections in January, has about 35 people there",30_2004,37,17
T265,Claim,28918,28998,"You need more than 35 people to hold an election in Cleveland, much less in Iraq",30_2004,37,19
T266,Premise,28810,28915,"that's compared with a much smaller country like East Timor, where they had over 200 people on the ground",30_2004,37,18
T267,Claim,29783,29857,the troops wouldn't have what they have today if you guys had had your way,30_2004,39,1
T268,Premise,29869,29904,about internationalizing the effort,30_2004,39,2
T269,Claim,29906,29928,They don't have a plan,30_2004,39,3
T270,Premise,29982,30038,the Gulf War coalition in '91 was far stronger than this,30_2004,39,5
T271,Claim,30040,30042,No,30_2004,39,6
T272,Claim,30044,30088,We had 34 countries then; we've got 30 today,30_2004,39,7
T273,Claim,30090,30116,We've got troops beside us,30_2004,39,8
T274,Premise,30136,30214,John Kerry referred to our allies as a coalition of the coerced and the bribed,30_2004,39,9
T275,Claim,30371,30499,"you demean the sacrifice of our allies when you say it's the wrong war, wrong place, wrong time, and oh, by the way, send troops",30_2004,39,11
T276,Premise,30525,30550,It's totally inconsistent,30_2004,39,13
T277,Premise,30579,30671,"Our most important ally in the war on terror, in Iraq specifically, is Prime Minister Allawi",30_2004,39,15
T278,Claim,30552,30576,There isn't a plan there,30_2004,39,14
T279,Premise,30673,30731,He came recently and addressed a joint session of Congress,30_2004,39,16
T280,Claim,31052,31097,That is not the way to win friends and allies,30_2004,39,18
T281,Premise,31099,31168,You're never going to add to the coalition with that kind of attitude,30_2004,39,19
T282,Premise,30789,30853,John Kerry rushed out immediately after his speech was over with,30_2004,39,17
T283,Claim,31614,31693,Ninety percent of the cost of this effort are being borne by American taxpayers,30_2004,41,5
T284,Claim,31695,31757,It is the direct result of the failures of this administration,30_2004,41,6
T285,Premise,31233,31345,vice president suggests that we have the same number of countries involved now that we had in the first Gulf War,30_2004,41,1
T286,Premise,31347,31401,The first Gulf War cost the American people $5 billion,30_2004,41,2
T287,Claim,31452,31486,we're at $200 billion and counting,30_2004,41,3
T288,Premise,32380,32464,you want to be able to say that the Americans are taking 90 percent of the sacrifice,30_2004,49,0
T289,Claim,31814,31879,He won't count the sacrifice and the contribution of Iraqi allies,30_2004,43,1
T290,Premise,31901,31921,They're in the fight,30_2004,43,3
T291,Premise,31923,32089,They're increasingly the ones out there putting their necks on the line to take back their country from the terrorists and the old regime elements that are still left,30_2004,43,4
T292,Premise,32091,32117,They're doing a superb job,30_2004,43,5
T293,Claim,32350,32370,they shouldn't count,30_2004,49,0
T294,Claim,32466,32615,You cannot succeed in this effort if you're not willing to recognize the enormous contribution the Iraqis are increasingly making to their own future,30_2004,49,1
T295,Claim,32617,32674,We'll win when they take on responsibility for governance,30_2004,49,2
T296,Premise,32676,32695,which they're doing,30_2004,49,2
T297,Claim,32701,32755,when the take on responsibility for their own security,30_2004,49,2
T298,Premise,32763,32790,they increasingly are doing,30_2004,49,2
T299,Claim,32801,32828,"New question, similar topic",30_2004,50,0
T300,Premise,32838,32921,I want to circle back to a question which I'm not quite certain we got an answer to,30_2004,50,0
T301,Claim,34711,34834,"If we want to do the things that need to be done to keep this country safe, we can't be dragged kicking and screaming to it",30_2004,53,13
T302,Claim,33708,33812,It's a continuation of at least insinuating that there's some connection between 9/11 and Saddam Hussein,30_2004,53,4
T303,Claim,33814,33827,It's not true,30_2004,53,-1
T304,Claim,33693,33706,It's not true,30_2004,53,5
T305,Claim,33595,33689,"It's a continuation of, ""Well, there's a strong connection between Al Qaida and Saddam Hussein",30_2004,53,2
T306,Claim,33830,33986,"It's saying to the American people, as the president said last Thursday, and the vice president continues to say tonight, that things are going well in Iraq",30_2004,53,6
T307,Premise,33988,34041,contrary to what people who have been there have seen,30_2004,53,6
T308,Premise,34073,34144,contrary to what everyone in America sees on their television every day,30_2004,53,6
T309,Claim,34148,34299,"Americans being kidnapped, people being beheaded, parts of the country under the control of insurgents, even today, under the control of the insurgents",30_2004,53,6
T310,Claim,35195,35342,"With John Kerry as president of the United States, we are committed to immediately implementing all of the reforms suggested by the 9/11 Commission",30_2004,53,19
T311,Premise,34837,34906,One thing that everybody does agree on is that 9/11 did change things,30_2004,53,14
T312,Claim,34932,35046,this administration opposed the creation of a 9/11 Commission to find out why it happened and what we needed to do,30_2004,53,15
T313,Claim,35049,35138,"They opposed the creation of a Department of Homeland Security, and then they were for it",30_2004,53,16
T314,Premise,35141,35164,We can't react that way,30_2004,53,17
T315,Claim,35352,35437,we have the information we need to find terrorists and crush them before they hurt us,30_2004,53,19
T316,Claim,36766,36832,this is exactly the kind of track record we've seen over the years,30_2004,55,14
T317,Claim,36834,36880,We have to deal with Zarqawi by taking him out,30_2004,55,15
T318,Claim,36886,36914,that's exactly what we'll do,30_2004,55,15
T319,Premise,36047,36128,"he was running a terrorist camp, training terrorists in Afghanistan prior to 9/11",30_2004,55,5
T320,Premise,36143,36205,when we went into Afghanistan that he then migrated to Baghdad,30_2004,55,6
T321,Claim,36380,36407,he's still in Baghdad today,30_2004,55,8
T322,Claim,36409,36508,He is responsible for most of the major car bombings that have killed or maimed thousands of people,30_2004,55,9
